import time: self [us] | cumulative | imported package
import time:       336 |       6533 |                     matplotlib.category
import time:       680 |        680 |                       dateutil.rrule
import time:       919 |       1599 |                     matplotlib.dates
import time:     28209 |      28209 |                       matplotlib.offsetbox
import time:       318 |        318 |                       matplotlib.container
import time:       607 |        607 |                       matplotlib.legend_handler
import time:      3419 |      32552 |                     matplotlib.legend
import time:       464 |        464 |                     matplotlib.mlab
import time:     13605 |      13605 |                     matplotlib.quiver
import time:       245 |        245 |                     matplotlib.stackplot
import time:       397 |        397 |                     matplotlib.streamplot
import time:      7715 |       7715 |                     matplotlib.table
import time:       237 |        237 |                       matplotlib.tri.triangulation
import time:       464 |        464 |                       matplotlib.tri.tricontour
import time:       209 |        209 |                       matplotlib.tri.tritools
import time:       209 |        209 |                       matplotlib.tri.trifinder
import time:       711 |        711 |                       matplotlib.tri.triinterpolate
import time:       222 |        222 |                       matplotlib.tri.trirefine
